File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_0.lg, Incorrect,37,11,26,16,10,0.5958945931273871,11,110,7,20,5,0,2,1,8,5,0,0,0,8,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_10.lg, Incorrect,41,12,29,11,18,0.612664302072848,12,132,9,19,9,0,2,1,10,4,0,0,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_11.lg, Incorrect,71,24,47,31,16,0.48734911457087743,24,552,19,36,8,0,6,3,20,8,0,4,0,20,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_12.lg, Incorrect,19,5,14,6,8,0.8230385195225839,5,20,3,10,4,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_13.lg, Incorrect,71,20,51,19,32,0.5521793495255093,20,380,15,32,16,0,6,3,16,7,0,0,0,16,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_14.lg, Incorrect,42,14,28,14,14,0.5565274561296608,14,182,10,20,7,0,2,1,11,6,0,0,0,11,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_15.lg, Incorrect,17,6,11,11,0,0.5351766902731661,6,30,3,8,0,0,6,3,4,1,0,1,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_16.lg, Incorrect,33,8,25,9,16,0.73422519620197,8,56,3,15,8,0,4,2,4,4,0,0,0,4,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_17.lg, Incorrect,62,17,45,31,14,0.544538637217746,17,272,9,33,7,0,10,5,10,7,0,4,0,10,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_18.lg, Incorrect,40,14,26,10,16,0.5581547332245559,14,182,12,18,8,0,0,0,13,5,0,0,0,13,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_19.lg, Incorrect,172,48,124,50,74,0.4529216228981907,50,2450,38,85,37,0,4,2,39,25,0,2,0,39,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_1.lg, Incorrect,33,9,24,12,12,0.6618661865511629,9,72,5,17,6,0,2,1,6,3,0,1,0,6,0,0,0,0,0,0,0,0
/home/antoine/MLCV/Master_2_MLVC_Recognize_Handwritten_Equation/data/lg_output/result/UN_101_em_20.lg, Incorrect,24,6,18,8,10,0.7839823128103697,6,30,2,11,5,0,4,2,3,3,0,0,0,3,0,0,0,0,0,0,0,0
